Restaurant,Cuisine
Barbells By Cafe Barbera,"Cafe, Italian, Salads"
Spot Cafeteria,Burgers
Exile Gaming & Cafe,"American, Burgers, Cafe"
Art Burger,American
Spice Hut,"Indian, Chinese"
Al Qamar & Al Nojoom Mahashi  Restaurant,"Egyptian, Arabic, Lebanese"
Go Biryani,"Indian, Vegetarian"
Express City Burger Restaurant & Cafeteria,"Indian, Sandwiches, Burgers"
Burger Spot Cafeteria,"Arabic, Burgers"
Shawarma Planet,"Shawarma & Doner, Sandwiches, Arabic"
Fogo De Chao butchery,Butchery
Arabi Shawarma and Grill,"Shawarma & Doner, Sandwiches"
Papa Junior,"Asian, Seafood, Thai"
Menaa Marseille,"Asian, Chinese"
The Coffee Parlor,"Cafe, Desserts"
Muskaan Restaurant And Cafeteria,Arabic
Hunger Roaming,"International, Italian"
Karachi Darbar,"Chinese, Indian, Pakistani"
Kashish Restaurant,"Mandi, Grills, Indian"
White Rose Flowers,Flowers
Farghly Fruits,"Healthy, Beverages, Desserts"
Taco Barrio,Mexican
Bikanervala,"Desserts, Indian, Vegetarian"
La Cantina,"International, Cafe, Sandwiches"
Swan Mart,Grocery
Tony Romas,"American, Seafood"
Passion Food,"Burgers, Sandwiches, American"
Bait Majarah Cafeteria,"International, Beverages, Burgers"
D. Waffle Cafe,"Egyptian, Beverages, Cafe"
Mix N Match,"Arabic, Healthy, Sandwiches"
Wow Burger,"Burgers, American"
Bahraini Kabab Restaurant,"Arabic, International"
Top Salad,"Salads, Healthy"
Lezzetli Kumpir Cafeteria,"Beverages, Snacks , Turkish"
Bombay Bungalow,Indian
Al Jood Al Aseel,"Arabic, Grills"
Freej Soud Kuwaiti Restaurant,"Arabic, International"
All Things Acai,"Bowls, Desserts, Smoothies"
Four G Cafe,"Pizza, Sandwiches, Cafe"
VIP Restaurant And Coffee Shop,"International, Beverages, Sandwiches"
Bowls For You,"Healthy, International"
Bert's,"Sandwiches, Cafe"
Like Fruit,"Beverages, Desserts, Frozen Yogurt"
Bab Sharqi Restaurant,"Arabic, Lebanese, Sandwiches"
Cedar Restaurant & Grill,"Lebanese, Arabic"
Anda Ghotala,"Indian, Vegetarian, Healthy"
Essence Cosmetics,Cosmetics
Bastila,"Arabic, Grills, International"
Delhi Darbar Restaurant,Indian
Brambles,"Healthy, Cafe, Desserts"
Al Zaitoon,"Sandwiches, Shawarma & Doner, Beverages"
Al Shaai AlMumayaz Cafeteria,"American, Burgers, Fast Food"
Coffee Beans By Slash Coffee,"Specialty Store, Roastery, Grocery"
BUTCHER BLOCK -Sandwiches,"Sandwiches, Salads, Soups"
Ybala Karak,"Emirati, Arabic"
Ligma w Yighma,"Arabic, Cafe, Emirati"
KAAKAJI RESTAURANT,"Arabic, Breakfast, Sandwiches"
STARLIT SPECIALTY CAFE AND HUB,"Cafe, Desserts"
Gusto Restaurant,"Italian, International, Burgers"
Icons Coffee Couture,"Cafe, Desserts, Sandwiches"
My Shawarma,"Shawarma & Doner, Lebanese, Sandwiches"
Wasfaty,"Burgers, Healthy, Sandwiches"
Al Ameera Pastry,"Arabic, Burgers, Pizza"
Tharavad Restaurant,"Chinese, Indian, Seafood"
Orient Grill Restaurant,"Chinese, Indian, Beverages"
Truck Adda Restaurant,"Indian, Pakistani, Cafe"
Gourmet Lab,"Burgers, Pizza, Pasta"
Al Kebab Al Sakhn,"Iranian, Arabic, Grills"
Seedology,"Cafe, International"
Mind Cafe & Restaurant,"Healthy, Breakfast, Cafe"
Ibsais Sweets,Desserts
New Arabian Hut Cafeteria,"Sandwiches, Beverages, Burgers"
Hipsterz,"American, Burgers"
Sizzling Wok,"Asian, Chinese, Thai"
La Farina Pizzeria,"Pizza, International, Italian"
The Cousins Catering,"International, Cafe, Desserts"
Motomachi,"Japanese, Seafood, International"
El Pueblo,"Mexican, Pasta"
Protein & Carb Restaurant,Healthy
Curry Processing Unit CPU,"Asian, Healthy, Indian"
Long Yin Wok,"Asian, American, International"
Safari,"Arabic, Indian, International"
Pushkin Russian Restaurant,"International, Burgers, Sandwiches"
312,"Burgers, Sandwiches, American"
Chicks 'N' Friends,"International, American"
Crisol Restaurant,"Cafe, Mexican, American"
French Bakery,"Breakfast, Cafe, Desserts"
Punjab Meat Trading,Butchery
Kakaw Cafe,"Cafe, Desserts"
Gulf Light Cafeteria,"Indian, Sandwiches, Grills"
India Palace Restaurant,"Indian, Seafood, Vegetarian"
Booth Cafe,"Cafe, Sandwiches"
Kebab Shiraz Restaurant,"Iranian, Arabic, Grills"
The Social Hub,"Healthy, Italian"
Khushi Dining Restaurant,Indian
Kabab ALRashedyah Restaurant,"Arabic, Grills, Iranian"
For Four Cafe and Restaurant,"Italian, International, Desserts"
Skeek Restaurant,"Emirati, Breakfast, Cafe"
Al Rozana,"Arabic, Lebanese"
Hungry Burritos Cafeteria,"Mexican, International, American"
Al Reef,Grocery
Al Mallah,"Arabic, Breakfast, Lebanese"
Toot Wa Ruman For juices,"Beverages, Desserts"
La Rosa Cafe & Restaurant,"International, Italian"
La Qu Cafe & Restaurant,"Breakfast, Cafe, Desserts"
Al Qamar Al Lamie Cafeteria,"Indian, Vegetarian"
Shamshoon Cafeteria & Refreshment,"Beverages, Burgers, Sandwiches"
That Cafe,"Cafe, International"
Jolly Bee Restaurant,"Asian, Chinese, Healthy"
Tapa King,Asian
Pizza And Pasta,"Italian, Sandwiches, International"
Smoothie Station,"Desserts, Beverages, Cafe"
The Green Fridge,Healthy
Angelberry Cafe,"Cafe, Desserts"
Pietza Pizza,"Italian, Pizza, International"
Treats Boutique Cafe,"Bakery and Cakes, Cafe, Desserts"
Blue Star Cafe,"Burgers, Beverages, American"
Rashid Ali Hassan Cafeteria,"Beverages, Burgers, Sandwiches"
Broasted Burber Cafeteria,"Arabic, Shawarma & Doner"
Mallah Restaurant,"Emirati, Arabic, Burgers"
Saravana Bhavan,"Indian, Vegetarian, Snacks "
Al Ansar Taiba Dates & Pastry,"Specialty Store, Beverages"
The Pasta Bowl,"Healthy, Vegetarian, Desserts"
Lolli & Pops,"Specialty Store, Desserts"
Al Dahab Cafeteria,"Beverages, International"
Dar Al Aseel Restaurant,"Arabic, Lebanese"
Well Burger,"Burgers, Sandwiches, International"
Mena Wa Feena Traditional Restaurant,"Breakfast, Sandwiches, Emirati"
Shanghai Station,"Asian, Chinese"
Borbone Beach Cafe,"Italian, Pizza, Desserts"
QKO Asian Market,Grocery
Maharaja Indian,"Indian, Pakistani"
New York Fries,"American, Fast Food, Sandwiches"
ADNOC Oasis,Grocery
Pista House Cafe,"Italian, Pizza"
Shawarmer,"Shawarma & Doner, Sandwiches, Arabic"
Zahrat AlKhaleej Cafeteria,"Burgers, Sandwiches"
Dhadkan Restaurant,"Indian, Chinese"
Taste Of Malabar,"Indian, Breakfast, Cafe"
Chalcos Mexican Grill,Mexican
Social House,"Italian, Japanese, Seafood"
Talabat,
Premier General Trading,Grocery
Steps,"American, Burgers, Italian"
Bosnian Kebab,"Pizza, International, Arabic"
Verger,"American, Healthy"
Fraise Bonbon Cafe,"Japanese, Beverages, Desserts"
Golden Grains,Grocery
Chicken Joint,"Sandwiches, Burgers"
Jory Flowers & Sweets,Flowers
Super kabab barbeque,"Arabic, Beverages, International"
Elevation Burger,"Burgers, American"
Aseer Al Toot Cafeteria,Beverages
Nizam's Hyderabad Restaurant,"Indian, Grills"
El Chico,"International, Mexican"
City Burger,"Burgers, Chinese, Beverages"
Cristal Juices,"Beverages, Desserts, Frozen Yogurt"
F ROOZ,Beverages
Indian Bites,"Asian, Chinese"
Hot N Cool,"American, Grills, Arabic"
Cafe Blanc,"Arabic, Lebanese, Sandwiches"
Collage Cafe,"International, Arabic"
Carfoosh Restaurant,"Arabic, Breakfast, Grills"
Fish House Restaurant,"Seafood, Egyptian, Arabic"
Al Boom Restaurant and Al Shaebi Kitchen,"Arabic, Grills, Emirati"
Saladicious & Grillz,"Healthy, Breakfast, Desserts"
Elovem Restaurant,"Healthy, International"
Grill Station Cafeteria,"Grills, Burgers, Chinese"
Cup Cookie Cafe,"Desserts, Chocolate "
Planet,"Chinese, Japanese, Burgers"
New Golden Fork Restaurant,"International, Seafood"
Pappa Roti,"Cafe, Desserts"
Mandalay,Asian
Aleshara Fast food,"Burgers, Italian, Sandwiches"
Cut Restaurant,"Pizza, Italian"
Roads,"Burgers, Mexican, American"
Galleria Restaurant & Cafe,"Italian, Lebanese"
Ghafat Restaurant,"Arabic, Asian, Grills"
Kabab Al Khaleej Restaurant,Iranian
Smart Tea Time Cafe,"Asian, Indian, Arabic"
B-Route,"Lebanese, Arabic"
Jawharet Beirut,"Lebanese, Arabic, Breakfast"
Lemongrass Thai Restaurant,"Thai, International"
Al Hattab Restaurant,"Lebanese, Sandwiches, Arabic"
Panda Express Restaurant,Chinese
Keto Counter,"Healthy, International"
Al Baidar Al Sharqi Pastry & Cafeteria,"Lebanese, Arabic, Shawarma & Doner"
Heroes,"International, Burgers, Sandwiches"
Al Safeer Restaurant,"Arabic, Lebanese, Sandwiches"
Arabesk Cafeteria,"Egyptian, Arabic, Breakfast"
Al Marsa,"Beverages, Burgers, Shawarma & Doner"
Shack Snack,"Cafe, Desserts, Beverages"
Ronda Locatelli,Italian
Malabar Park,Indian
Rasco Mac Cafe,"Bakery and Cakes, Cafe, Desserts"
Eat Me Burger,"Burgers, Sandwiches"
Halwa And Gahwa,Flowers
Xian Tang Lou,"Chinese, Seafood, Asian"
Narenj Alsham,"Arabic, Lebanese, Egyptian"
Al Shawerma Al Turkia,"Arabic, Turkish, Egyptian"
Al Rifai,"Specialty Store, Roastery"
Highway311,Mexican
Bhcosmetics,Cosmetics
Manhattan,"International, Arabic"
Radhe O Radhe Restaurant,Indian
Volt,Burgers
Tobasco's,"Burgers, Healthy, International"
Docib Pharmacy,"Pharmacy, Grocery"
Haret Ghewar Restaurant & Coffee,"Arabic, Shawarma & Doner, Breakfast"
Coffeeholic Specialty Coffee Cafe,"Healthy, Italian, International"
CUCUMBER CLUB Salads,"Sandwiches, Salads, Soups"
Cozy Tea,"Indian, Shawarma & Doner, Burgers"
Dar Al Tayeb Mandi,"Arabic, Mandi"
Tabbaliah,"Healthy, International"
Al Safsaf Cafeteria,"Arabic, Burgers"
Delaney Coffee Lab,"Beverages, Cafe, Desserts"
Al Mazah Pastries,"Arabic, Lebanese, Pizza"
Bowl Is Life,Healthy
Khatoon Restaurant,"Iranian, Arabic"
Chili's,"American, Burgers, Mexican"
Calories Cafeteria,Healthy
RODA AMWAJ SUITES,"American, Cafe, International"
OverLoad Internet Cafe,"Cafe, Italian, Burgers"
Aklat Beitna,Arabic
Ahmedoo Roaster and Restaurant,"Arabic, Sandwiches, Seafood"
800Thali,Indian
Sredan Restaurant Traditional Food,"Emirati, Arabic, Beverages"
India Mahal,"Grills, Indian, Vegetarian"
Al Jamaheer Al Arabiah Kitchen,"Arabic, Pakistani"
Abyan Restaurant,"Arabic, Mandi"
Era Cafe,"Desserts, Breakfast, Cafe"
The Indian Kitchen,"Indian, Pakistani, Vegetarian"
Leiden Cafe,"Desserts, American, Burgers"
Mahashi Al Majaz Restaurant,"Arabic, Lebanese, Egyptian"
Keto Bowl,"Healthy, Desserts"
The Kaati Express,"Grills, Indian, Vegetarian"
Student Biryani,Pakistani
ghandoor cafeteria and pastery,"Beverages, Pizza"
V60 Specialty Coffee,"Cafe, Breakfast"
Absolute Zero,"Beverages, Cafe"
KaramTeena Restaurant,"Arabic, Breakfast, Lebanese"
UBK - Urban Bar & Kitchen,"Burgers, Mexican, International"
Good Mood,"American, Burgers, Lebanese"
Xenia Cafe Lounge,"Lebanese, Sandwiches, Arabic"
Copper Kettle Restaurant,"Indian, Pakistani"
Desire Restaurant,"American, Italian, International"
Burger Kitchen Restaurant,Burgers
Second Cup Cafe,"Cafe, Desserts, Beverages"
Dallah Al Magaz Traditional Food,"Arabic, Cafe, Desserts"
Chai Adda Cafe,"Fast Food, Sandwiches, Beverages"
Morozoff Japan,"Specialty Store, Chocolate , Desserts"
Haveli Indian Cuisine,"Indian, Pakistani, Vegetarian"
Ka'aki W Nos,"Lebanese, Breakfast, Healthy"
Chicking,"Burgers, Sandwiches"
Al Bait Al Shami,International
Chin Chin,"Asian, Chinese, Thai"
Roux Café & Restaurant,"Burgers, Cafe, International"
The Veegan House,"Vegetarian, Healthy"
Mazaj Time Cafe and Restaurant,"Arabic, Grills, Sandwiches"
The White House,"Arabic, Mandi"
Fatayir Pizza AlTtazij,Pizza
Maghta & Sarood Restaurant & Cafe,"Emirati, Arabic"
Over Easy,"American, Breakfast, Healthy"
Le Pont Cafe,"Bakery and Cakes, Desserts"
Al Ibrahimi Palace Restaurant,"Indian, Pakistani, Arabic"
Barbecue Plus Restaurant,"Arabic, Breakfast, Lebanese"
MAC EDITION  Cheesy Macaroni,"American, Fast Food, Sandwiches"
Ilaichi Restaurant,Indian
Yellow Cab Pizza,"Pizza, American, Italian"
Shawerma store,"Arabic, Shawarma & Doner, Desserts"
Al Joulan Cafeteria,"Beverages, Burgers, Sandwiches"
Sri Aiswariya Restaurant,Indian
The Lime Tree Cafe & Kitchen,"Breakfast, Healthy, Sandwiches"
NKD Pizza,"Italian, Pizza"
Brown Broasted Cafeteria,"Burgers, Fast Food, American"
Bab AL Noor Pharmacy,Pharmacy
Coffee Zone Cafe,"Beverages, Cafe, Desserts"
Soy To Chutney,"Indian, Chinese"
Al Dar Sweets,"Desserts, Beverages, Breakfast"
Biryani Rim Jhim,"Indian, Vegetarian"
Kebaplar P T T Restaurant,Turkish
Nepalese Himalayan Restaurant,"Chinese, International"
Masala Wok,"Chinese, Indian"
Hot Tea Time,"American, Burgers, Sandwiches"
City Hut Cafeteria,"Sandwiches, Beverages, Burgers"
Hampstead Cafe,"International, Healthy"
Joker Pizza,"Pizza, Italian"
Hot Oven,"Arabic, International"
Peshawar Zalmi Restaurant,"Indian, Pakistani"
Lims Cafe,"Burgers, Cafe, Sandwiches"
WOFL,"Desserts, Sandwiches"
Haru Robatayaki,"Japanese, Seafood, Healthy"
Khairat Al Sham Butchery,"Butchery, Grocery"
English Bakery,"Lebanese, Pizza, Arabic"
Ruqaq Al Khaleej Public Restaurant,"Arabic, Desserts, Lebanese"
Hot Sip Cafe,"Breakfast, Burgers, Sandwiches"
China Hut Restaurant,"Indian, Vegetarian, Chinese"
Al Maeda,"International, Grills, Lebanese"
Forever Flower,Flowers
Zahrat Libnan Al Jadeed Restaurant,"Lebanese, Arabic, Grills"
Sakura Cafe,"Burgers, Cafe, Pizza"
Bur Said Fish Cooking,Seafood
Shawarma Al Reem,"Sandwiches, Arabic, Shawarma & Doner"
Three G Burger,"Burgers, Sandwiches, American"
Saraya Cafe,"Cafe, Desserts, International"
Victorious Cafe,"Burgers, Italian, Sandwiches"
Attyab Farooj Restaurant,"Arabic, Healthy"
RIMINI CAFE,"Desserts, Italian"
Khebz W Zeytoun - Bread & Olives,"Arabic, Lebanese"
Marbaiya Restaurant & Cafe,"International, Arabic, Lebanese"
Lahori Zaiqa Restaurant,"Pakistani, International"
Joud Cafe,"Cafe, Desserts, International"
Bait Al Ameera Restaurant and Grill,"Breakfast, International"
Localawi Restaurant,"Emirati, Arabic, Sandwiches"
Broccoli Pizza & Pasta,"Italian, Pizza, Breakfast"
Mashakeek,"Burgers, Sandwiches"
Keema Chapati,"American, Indian, Sandwiches"
Tari Fresh Restaurant,"Arabic, Seafood, Egyptian"
Jubnah and Labnah Pastries,Arabic
Qasr Alasala Mandi&Mathbi Restaurant,"Mandi, Arabic"
The Market Restaurant & Cafe,"Arabic, Asian, Italian"
Fit Guru,"Healthy, Sandwiches"
Fruteiro Do Brasil,Healthy
Memories Flower,Flowers
Al Narjes Perfumes Trading,Cosmetics
Golden Sands,"Indian, Breakfast, Grills"
Natas & Churros,"Breakfast, Cafe, Desserts"
Flower Room,Flowers
Reedan Mandi & Al Mathbi,"Mandi, Arabic"
Palace Pharmacy,Pharmacy
Al Akkawi House Cafeteria,"Arabic, Sandwiches"
Student Biryani,"Indian, Pakistani"
Barbar Pastry,"Arabic, Lebanese, Sandwiches"
Silver Talla,"Italian, Sandwiches, Burgers"
Karachi Agha Juice,"Desserts, Beverages"
Bun Fight,"Burgers, Sandwiches"
Mr. Brisket,"American, Burgers, Sandwiches"
Freshii,"International, American, Healthy"
Kyo Restaurant & Lounge,Japanese
Sangam Restaurant & Sweets,"Chinese, Desserts, Indian"
Smokey Burger,Burgers
La Pasta Di Maria,"Italian, Pizza, Pasta"
Indi Spice,"Indian, Vegetarian, Chinese"
BAKEOLOGY,"Bakery and Cakes, Cafe, Desserts"
La Terrasse Café and Restaurant,"Cafe, Desserts"
Shiraz Special Kabab Restaurant,"Iranian, Arabic"
Manousheh,"Arabic, Bakery and Cakes, Lebanese"
Zahr El Rouman,"Arabic, Desserts, Lebanese"
Sea Shore Restaurant,"Indian, Sandwiches, Burgers"
Jabal Lebanon Restaurant,"Arabic, Lebanese"
Taste Star Mandi & Madhbi Restaurant,"Arabic, Mandi"
Luqaimat and Chebab Restaurant,"Arabic, Breakfast, Desserts"
MR Flat White Cafe,"Beverages, Breakfast, Cafe"
Tripoli Restaurant,"Arabic, Shawarma & Doner, Sandwiches"
Maacaronia,"Sandwiches, Burgers, Pizza"
The Mumbai Gully,"Indian, Vegetarian"
Eureka Gourmet Popcorn,"Specialty Store, Snacks "
Roti King Sweet Bakery,Breakfast
Specialty Shop,"Specialty Store, Desserts, Grocery"
Lava Lounge,"American, Japanese, Mexican"
Cafe Du Roi,"Breakfast, Healthy, Beverages"
The Bomb Cafeteria,"American, Burgers"
Al Muheet Al Azraq,"Seafood, Arabic"
Dajla Pharmacy,Pharmacy
Richy's,"International, Healthy, Sandwiches"
Azal Al Sham Restaurant,"Lebanese, Arabic"
Shawaia Al Bahar,"Seafood, International, Arabic"
Slider Lab,"Burgers, Sandwiches, American"
Burger Shack,"American, Burgers, Sandwiches"
Volume Coffee,"Beverages, Cafe"
Mylky Way,"Specialty Store, Vegetarian, Grocery"
Annapoorna,"Indian, Vegetarian"
Corniche Cafe,"Arabic, Healthy, International"
Larte,"Italian, Pizza, Sandwiches"
Colourpop,Cosmetics
Punjabi Dhaba,"Breakfast, Indian"
Shagf Cafe,Cafe
Wees Kitchen,"Healthy, Japanese, Mexican"
Al Sedra Cafeteria,"Arabic, Sandwiches, International"
Poketito,"Healthy, Japanese, Seafood"
Folies Au Chocolat,"Specialty Store, Chocolate "
Top Fitness Cafe,Healthy
Behrouz Biryani,"Grills, Indian, Arabic"
Royal Touch Cosmetics,Cosmetics
The Carving Board Restaurant,"American, Sandwiches"
Nefertiti Restaurant & Cafe,International
Jehangirs Restaurant,Indian
Flooka Seafood,Seafood
Maiz Tacos,"Mexican, Vegetarian"
Juice Bar,Beverages
Noodlii,"Asian, Chinese, Grills"
Glitch Cafe,"Cafe, Desserts"
Romana Pizza,"Italian, Pizza"
The Secret Garden Cafe,"Breakfast, Cafe, International"
Wazwan Restaurant,"Indian, Pakistani, Vegetarian"
Lulu Zinger Cafeteria,"American, Burgers, Sandwiches"
The Vietnamese Sandwich Co,Sandwiches
TooT W Karaz,"Beverages, Desserts"
Ice Storm,Desserts
SMK - Smoked Meat Kitchen,"American, Burgers, Sandwiches"
Biancorosso,"Italian, Pizza, Breakfast"
Simply The Great Food,"Specialty Store, Desserts"
Be Fit For Healthy Meals,"Healthy, Beverages, Breakfast"
The Healthy Italian,"Healthy, Italian, Breakfast"
Caravella Russian Cuisine,International
Mammys Forno Pastry And Sweets,"Pizza, Arabic, Breakfast"
Public Cook,"Arabic, Emirati"
Fajita Grill Restaurant,"American, Healthy, Mexican"
Pet Sky,Pet Shop
Breakfast Up,"Breakfast, Healthy"
Meat Locker Restaurant,"Burgers, Beverages, American"
New Marina Restaurant,"Arabic, Chinese, Indian"
Golden Chicken Cafeteria,"Burgers, Desserts, Sandwiches"
Food party,"American, Fast Food"
Blaze Burgers,"American, Burgers"
Milan By Cafe Barbera,"Sandwiches, Beverages, Healthy"
Asian5,"Asian, International"
Masala Kitchen,"Indian, Pakistani"
Al Farah Pastry & Grill,"Arabic, Sandwiches"
Shrimpy,"Seafood, American, Grills"
Yaweely Resturant,"Burgers, Emirati"
Coastal Delicacies Restaurant,"Indian, Chinese, Grills"
Mole Pizza,"Italian, Pizza"
Brunch & Cake,"Breakfast, Burgers, Pizza"
Freez,Desserts
Aklat Jedudna Restaurant,"Arabic, Breakfast, Grills"
I Love Juice,"Beverages, Healthy"
Domenico By Cafe Barbera,"Cafe, Smoothies"
Chuzah,"Desserts, Indian"
DineFast,"Burgers, Fast Food, Fried Chicken"
Thai Gate,"Asian, Thai"
Doner Box,"American, Shawarma & Doner"
Hekmat Pharmacy,Pharmacy
Sikkat Beirut,"Lebanese, International, Arabic"
La Mer Juice,"Beverages, Desserts"
Chutney & Roll,"Pakistani, Indian"
La Marquise Restaurant & Coffee Shop,"Lebanese, Sandwiches, Arabic"
Itzza Pizza,"Pizza, Italian"
The Hide Out,"Cafe, International"
Big Brother House Restaurant,"International, Mexican, Seafood"
Dreams 909 Restaurant and Cafe,"Burgers, Pizza, Beverages"
Hipsterz,"American, Burgers"
Sambosa Bike,Emirati
Z Lounge,"Cafe, International"
Hadoota Masreya,"Egyptian, Sandwiches"
Rainbow Steak House,Indian
Il Forno,"Italian, Pizza"
Kulcha King,Indian
Fathima Supermarket,Grocery
Kunafat Doma,"Desserts, Arabic, Cafe"
Filli Cafe,"Burgers, Sandwiches"
MahraJa Cafe & Restaurant,"Cafe, Indian"
Mashakeek,"Arabic, Sandwiches"
Gordon Ramsay Bread Street Kitchen,"International, Grills"
Dar al Tikka,"Iranian, Arabic"
Lobester And Caviare Seafood Restaurant,Seafood
Layali Al Sham,"Arabic, Lebanese"
Al Naeem Restaurant,Indian
NIZAMI,Indian
Grand Station,"Arabic, Lebanese, International"
Fresh Cups,"Breakfast, Pizza, American"
Portofino Patisserie & Cafe,"Italian, Pizza, Desserts"
A La Grand,"Arabic, Desserts, International"
Gazania Cafe,"Arabic, Desserts"
Soup By The Six,"Healthy, International"
Cocktail Burger Refreshments,"Arabic, Burgers, Indian"
Chimnos,Bakery and Cakes
Mazaj Bar & Shisha Lounge,"Arabic, Indian"
Sayed Al Shay Cafeteria,"Shawarma & Doner, Burgers, Indian"
Dar Al Salam,"Arabic, Pizza"
Best juice In Town,"Arabic, Iranian, International"
Bait Al Dana Restaurant & Coffee,"Arabic, Lebanese"
Vintage Chocolate Lounge,"International, Desserts, Italian"
Alishan Restaurant,"Indian, Pakistani, Asian"
Al Mahashi Restaurant,"Egyptian, Arabic"
Breath Cafe,"Breakfast, Cafe"
Al Masy,"Arabic, Lebanese, Sandwiches"
The Cookie Bandits,"Specialty Store, Desserts"
Orfa Restaurant,"Arabic, Shawarma & Doner, Lebanese"
Pan'king,"Arabic, Desserts, Emirati"
Cheesy Bites,"Pizza, Sandwiches, Asian"
Gunaydin Quick Service,"Shawarma & Doner, Turkish"
Haji Ali Juice Center,"Desserts, Indian"
Dandana Gourmet Restaurant,"International, Arabic, Lebanese"
Canadian Pizza,"Pizza, Italian"
Sadaf Restaurant,"Iranian, Italian, Arabic"
Pokeman Restaurant,"Bowls, Healthy, Seafood"
Plant Power,"Healthy, Asian, Salads"
La Pasta de Valleria,"Pizza, Italian"
Al Manara Pharmacy,Pharmacy
Tom Yum Thai Restaurant,"Asian, Thai"
Central Makkah Pharmacy,Pharmacy
Hexagon Burger,American
Diwan Badia Mandi,"Mandi, Arabic"
Bahar 60 Sea Food Restaurant,"Seafood, Healthy"
The Butcher Shop & Grill Retail,"Butchery, Grills, Grocery"
Al Dhafra Restaurants,"Arabic, Grills, Seafood"
The Rice Bowl,"Indian, Chinese, Healthy"
Punjabi Dhaba,"Grills, Indian, Vegetarian"
Beanzo Cafe,"Cafe, Desserts, Bakery and Cakes"
Bear Bowls,Healthy
Rabs Super Wraps,Sandwiches
ElKabeer Restaurant,"Egyptian, Arabic"
Asahi Poke,"Healthy, Japanese, Seafood"
Soy,"Asian, Chinese, Thai"
Jeffree Star Cosmetics,Cosmetics
Joe's Cafe,"Cafe, Italian"
Akkawi Al Sham moagenat,Arabic
Coppasta Restaurant,"Italian, International"
Ghazal Al Sham Restaurant,"Breakfast, Sandwiches, Shawarma & Doner"
Kuwaiti Cuisine,"Mandi, Arabic"
Atayeb Chocolate,"Specialty Store, Desserts"
Ortego's Deli,Asian
Han Cuisine Restaurant,"Asian, Chinese"
Karam Beirut Restaurant & Cafeteria,"Lebanese, Arabic"
Al Gharshoob Restaurant,"Emirati, Lebanese, Seafood"
New York Snacks,"Burgers, International, American"
Mix Box Cafe,"Cafe, Desserts"
Cotta Chocolate,"Desserts, Chocolate "
Afghan Kabul Restaurant,"Arabic, International"
GF Ferre Chocolate Bar,"Breakfast, Cafe, Desserts"
Wahat Al Qasimiya,Indian
Chez Sushi,Japanese
Gulabo Restaurant,"Indian, Lebanese, Pakistani"
Crepe Crazy,Desserts
Baskin Robbins E Commerce,"Grocery, Specialty Store, Desserts"
Al Areesh,"Arabic, Lebanese"
Twin Tavern Restaurant,"American, Italian, International"
Yoko Sizzlers,"Asian, Chinese"
Chinese Pepper,"Chinese, Asian"
Rolawala,"Arabic, Lebanese"
Helw El Manakish Cafeteria,"Beverages, Snacks "
Flakes Chocolateria Cafe,"Cafe, Desserts, Beverages"
Al Baik Sweets,"Arabic, Bakery and Cakes, Desserts"
Bait Al Zain Mandi Restaurant,"Mandi, Arabic, Seafood"
Shawarma Al Raai,"Shawarma & Doner, Breakfast, Arabic"
Blonde Specialty Cafe,"Beverages, Cafe, Desserts"
Taiyaki Restaurant,"Japanese, Thai, Asian"
Home Diner Restaurant,Indian
Mainstreet Bakery,"Arabic, Pizza, Sandwiches"
Red Rooster,"Healthy, Mexican, Sandwiches"
Paratha N Rolls,"Indian, International, Cafe"
Lavazza Espression,"Cafe, Italian"
AL Aqsa Pharmacy,Pharmacy
Abeer Alsham,Grocery
King's Palace Restaurant,"Asian, Chinese, Indian"
Flamingo House Cafe,"Burgers, Desserts, Italian"
Colors Cafe,"Indian, Iranian, Pizza"
Al Medyaf Restaurant,"Arabic, Seafood, Emirati"
After You Sweets,Desserts
Tawook Guys,"Arabic, Lebanese, Sandwiches"
Qasr Al Shouq Pastries,"Egyptian, Breakfast, Pizza"
Roti Handi Restaurant,"Indian, Pakistani"
Loqmah Bayitna,"Arabic, Egyptian, Emirati"
Ruger Burger,"Burgers, American"
Bunfire,"Burgers, Sandwiches"
Ice Day,"International, Arabic, Desserts"
Pinoy Eats,"Asian, Seafood"
White Ambient Restaurant,"Italian, Pizza, International"
Pizza Express,"Italian, Pizza, Fast Food"
Woodys,"Indian, Chinese"
Sauce Dose Cafe,"Desserts, Cafe"
Wagamama Restaurant,"Japanese, Thai, Asian"
Moge Tee,"Asian, Beverages, Desserts"
STEAK CHEF,"International, Arabic, Italian"
Hanzo Restaurant,"Asian, Japanese"
Jil Jalan Cafeteria,"Burgers, Sandwiches"
Hot Rod Burger,"Burgers, American"
Omar Basa Turkish Restaurant,"Turkish, Breakfast, Grills"
Mawasim Hypermarket,Grocery
Papa Kanafa,Desserts
Yadooh Burger,"Arabic, Cafe, Lebanese"
Lounge Wish cafe,"Arabic, Lebanese, International"
Burger Bun,"Burgers, Sandwiches, American"
The Fit Food Kitchen,"Healthy, Breakfast, Desserts"
Luca The Italian,"Italian, Pizza, Vegetarian"
Loft Fusion Cuisine,"American, Burgers, Cafe"
Chocolicious Sweets,"Desserts, Beverages, Cafe"
Super Bowl Asian Cafe,"Asian, Japanese, Thai"
Baba Ghanouj Restaurant,"Lebanese, Arabic, Breakfast"
Pizza Sixteen,Pizza
