Restaurant,Cuisine
Momo Hut Restaurant,"Asian, Chinese, Japanese"
Sweet Salvation Ice Cream,"Cafe, Desserts, Breakfast"
Dar Al Shai,"Sandwiches, Shawarma & Doner, Beverages"
Coral Restaurant,"Arabic, Shawarma & Doner, International"
Anjappar Chettinad Indian Restaurant,"Indian, Seafood, Chinese"
Freez,Desserts
Eat Route,"American, Burgers, Cafe"
28Acai,"Healthy, Frozen Yogurt, Desserts"
Cafe Barbera,"Cafe, Italian, International"
Al Zaki Grills,"Arabic, Breakfast, Grills"
Kteer Tayyeb,"Lebanese, Sandwiches, Breakfast"
iBurger cafe,"American, Burgers, Sandwiches"
Cafe Bateel,"Healthy, Bakery and Cakes, Breakfast"
Poke And Co,"Healthy, Breakfast, Cafe"
Vitaminshop.ae,"Specialty Store, Nutrition"
Dana Chicken House,"Burgers, International"
Via Delhi Restaurant,"Asian, Chinese, Indian"
Poori & Karak,"International, Arabic, Breakfast"
Jsheed Restaurant,"Arabic, Seafood, Emirati"
Yalla Saj,"Egyptian, Shawarma & Doner, Lebanese"
Maharaja Bhog Restaurant,"Indian, Vegetarian, Asian"
Turf Cafe,"Breakfast, Cafe, Desserts"
Wok To Noodles,"Asian, Chinese"
Dukkan Biryani,"Indian, Snacks , Breakfast"
Magnolia Bakery,Desserts
Al Shater Hassan Restaurant,"Arabic, Shawarma & Doner, Lebanese"
Jabal Haffeet Cafeteria,"Sandwiches, Burgers"
Chick'N Co,"American, Burgers, Sandwiches"
Mondo Pizzeria,"Italian, Pizza"
The Irish Village,American
Sarabeth`s,"Breakfast, Cafe"
I Do,"Cafe, Desserts"
Abeer Alexandria Restaurant,"Egyptian, Beverages"
Top It Restaurant,"American, Cafe, International"
Bloudan Roaster,"Arabic, Grocery, Chocolate "
Lamagon Sweets,"International, Arabic, Cafe"
Krispy Kreme,"Desserts, Cafe"
Claridge Hotel,"Indian, Desserts"
Hardee's,"American, Burgers, Sandwiches"
Al Thabiah Sweets  Restaurant L.L.C.,"Desserts, Arabic"
Van Sandwich,"Lebanese, Sandwiches, Shawarma & Doner"
Socialicious,"Asian, Thai, International"
Deccan Biryani Restaurant,"Indian, Pakistani"
Crepeaholic,"Desserts, Beverages, Breakfast"
Seashell,"Burgers, Sandwiches"
Kunafati Sweets,"Desserts, Arabic"
Prabhu's Restaurant,"Chinese, Indian, Vegetarian"
Bshawarma,"Arabic, Shawarma & Doner"
Waraq & Laymoon,Arabic
Belgian Cafe,"Beverages, Sandwiches, International"
Almazb Mandi Restaurant,"Breakfast, Turkish, International"
Sunlife Organic Cafe,"Healthy, Snacks "
BOXEATS,Indian
London Slide,"Burgers, Grills"
Calorie Kitchen,Healthy
Bosnian Kebab Restaurant,"Grills, International"
Operation:Falafel,"Arabic, Lebanese, Sandwiches"
Barsalata Salads & Healthy Bites,"Healthy, Sandwiches, Salads"
China Bistro,"Asian, Chinese, Japanese"
Ostro,"Cafe, Desserts, Sandwiches"
Burger Hut,"Burgers, American"
Let's Wok Restaurant,"Asian, Chinese, Thai"
Crepiano,"Desserts, International, Beverages"
Avenue Flavors,"Beverages, Healthy"
Shish Shawerma,"Shawarma & Doner, Sandwiches, Arabic"
Sushi Saito,"Japanese, Asian"
Pearl Dining Restaurant,Indian
Pastry and Broasted Alwaha Cafeteria,"Arabic, Shawarma & Doner"
Aswaaq Supermarket,"Grocery, Beverages, Snacks "
Chayakada,"Indian, Snacks , Grills"
